unique.sdCrime.pb.Charge_Description_Orig.,offense
VANDALISM (LESS THAN $1000),vandalism
SELL/FURNISH/GIVE/TRANSPORT/ETC MARIJUANA OVER 28.5 GRAMS,drugs/pot
THREATEN CRIME WITH INTENT TO TERRORIZE,violent
VANDALISM (LESS THAN $400) REPEAT OFFENSE,vandalism
THEFT/NON-RETURN OF RENTAL PROPERTY,theft
ATTEMPT OPERATE VEHICLE W/O OWNER'S CONSENT,theft
POSSESSION OF NARCOTIC CONTROLLED SUBSTANCES (M),drugs
ASSAULT WITH A DEADLY WEAPON OR BY FORCE,violent
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,theft
ATTEMPTED ROBBERY,violent
FELON/ADDICT/ETC POSSESS FIREARM,weapons
POSSESS MARIJUANA 1 OZ OR  LESS WHILE DRIVING,drugs/pot
ASSAULT,violent
POSSESS CONTROLLED SUBSTANCE (F),drugs
BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT),violent
VANDALISM:DEFACE PROPERTY (MISDEMEANOR),vandalism
TOUCH PERSON INTIMATELY AGAINST WILL FOR SEXUAL AROUSAL/E,sexual
ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT,violent
OPEN ALCOHOLIC BEVERAGE IN CITY LOT.,alcohol
BATTERY AGAINST EMERGENCY PERSON/ETC,state
REMOVE/ETC PEACE OFFICER/ETC FIREARM,state
VANDALISM:DESTROY OTHER'S PROPERTY,vandalism
SEXUAL PENETRATION W/ FOREIGN OBJECT W/ FORCE,sexual
SEXUAL BATTERY,sexual
DUI ALCOHOL DRUGS/DEATH CAUSING BODILY INJURY,alcohol
BRANISH FIREARM REPLICA,weapons
POSS/USE FALSE EVID OF AGE,state
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL WITH INJURY,violent
POSSESS OF AMMUNITION BY PROHIBITED PERSON (F),weapons
VANDALISM:DEFACE PROPERTY (FELONY),vandalism
BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY,violent
"GRAND THEFT FIREARM, ANIMAL, ETC.",theft
POSSESS NARCOTIC CONTROLLED SUBSTANCE (F),drugs
DUI DRUGS (M),drugs
BATTERY AGAINST POLICE OFFICER,violent
ATTEMPTED BURGLARY:UNSPECIFIED,theft
CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT,violent
ASSAULT WITH DEADLY WEAPON WITH GUN,violent
CONVICTED FELON POSSESS/PURCHASE/USE/ETC TEAR GAS (F),weapons
IMPERSONATING ANOTHER VIA THE INTERNET,theft
DISORDERLY CONDUCT/LOITER TOILET,state
LOITER IN PUBLIC PLACE FOR ILLEGAL DRUG ACTIVITY,drugs
LEWD/LASCIVIOUS ACTS - CHILD UNDER 14 YEARS,sexual
CARRY CONCEALED DIRK OR DAGGER (F),weapons
POSSESS/MANUFACTURE/SELL DANGEROUS WEAPON/EXPLOSIVES/ETC,weapons
OBSTRUCT/RESIST EXECUTIVE OFFICER,state
POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD,theft
TERRORIST THREATS THAT THREATEN FAMILY,violent
ADW WITH FORCE:POSSIBLE GBI,violent
DISORD CONDUCT/PEEPING TOM,sexual
FELON/ADDICT/POSSESS/ETC FIREARM (F),weapons
ROBBERY: SECOND DEGREE,theft
ORAL COPULATION BY FORCE OR FEAR,sexual
VIOLATE CIVIL RIGHTS BY FORCE OR THREAT,violent
24 HR ALCOHOL BAN IN MISSION/PACIFIC BEACH,alcohol
